01 - Rental Details Rental ID,01 - Rental Details Local Start Time,01 - Rental Details Local End Time,01 - Rental Details Bike ID,01 - Rental Details Duration In Seconds Uncapped,03 - Rental Start Station ID,03 - Rental Start Station Name,02 - Rental End Station ID,02 - Rental End Station Name,User Type,Member Gender,05 - Member Details Member Birthday Year
22187259,2019-04-01 21:54:06,2019-04-01 22:06:04,2131,718.0,374,Western Ave & Walton St,116,Western Ave & Winnebago Ave,Subscriber,Male,1956
22187260,2019-04-01 21:54:11,2019-04-01 22:07:50,4000,819.0,138,Clybourn Ave & Division St,142,McClurg Ct & Erie St,Subscriber,Male,1992
22187261,2019-04-01 21:54:57,2019-04-01 22:00:57,4893,360.0,274,Racine Ave & 15th St,241,Morgan St & Polk St,Subscriber,Male,1992
22187262,2019-04-01 21:55:11,2019-04-01 22:00:15,1395,304.0,143,Sedgwick St & Webster Ave,118,Sedgwick St & North Ave,Customer,Male,1994
22187263,2019-04-01 21:55:23,2019-04-01 21:58:42,5016,199.0,332,Burling St (Halsted) & Diversey Pkwy (Temp),340,Clark St & Wrightwood Ave,Subscriber,Male,1993
22187264,2019-04-01 21:56:28,2019-04-01 21:59:56,6209,208.0,141,Clark St & Lincoln Ave,118,Sedgwick St & North Ave,Subscriber,Male,1992
22187265,2019-04-01 21:56:36,2019-04-01 22:10:52,3682,856.0,215,Damen Ave & Madison St,61,Wood St & Milwaukee Ave,Subscriber,Male,1991
22187266,2019-04-01 21:56:41,2019-04-01 22:08:54,595,733.0,215,Damen Ave & Madison St,69,Damen Ave & Pierce Ave,Subscriber,Male,1992
22187267,2019-04-01 21:56:57,2019-04-01 22:00:40,1465,223.0,432,Clark St & Lunt Ave,447,Glenwood Ave & Morse Ave,Subscriber,Male,1997
22187268,2019-04-01 21:58:02,2019-04-01 22:09:40,4591,698.0,71,Morgan St & Lake St,364,Larrabee St & Oak St,Subscriber,Male,1972
22187269,2019-04-01 21:58:05,2019-04-01 22:06:05,3523,480.0,69,Damen Ave & Pierce Ave,305,Western Ave & Division St,Subscriber,Male,1977
22187270,2019-04-01 21:58:34,2019-04-01 22:03:57,2733,323.0,307,Southport Ave & Clybourn Ave,113,Bissell St & Armitage Ave,Subscriber,Male,1993
22187271,2019-04-01 21:58:36,2019-04-01 22:06:33,5063,477.0,183,Damen Ave & Thomas St (Augusta Blvd),277,Ashland Ave & Grand Ave,Subscriber,Male,1991
22187272,2019-04-01 21:58:40,2019-04-01 22:14:50,5110,970.0,131,Lincoln Ave & Belmont Ave,210,Ashland Ave & Division St,Subscriber,Female,1995
22187273,2019-04-01 21:58:59,2019-04-01 22:09:30,556,631.0,370,Calumet Ave & 21st St,41,Federal St & Polk St,Subscriber,Male,1989
22187274,2019-04-01 21:59:02,2019-04-01 22:19:03,3084,"1,201.0",142,McClurg Ct & Erie St,86,Eckhart Park,Subscriber,Female,1988
22187275,2019-04-01 21:59:18,2019-04-01 22:15:30,3137,972.0,627,LaSalle Dr & Huron St (*),142,McClurg Ct & Erie St,Subscriber,Male,1987
22187276,2019-04-01 22:00:26,2019-04-01 22:19:14,5601,"1,128.0",448,Warren Park East,344,Ravenswood Ave & Lawrence Ave,Subscriber,Male,1974
22187277,2019-04-01 22:01:11,2019-04-01 22:07:58,5232,407.0,87,Racine Ave & Fullerton Ave,115,Sheffield Ave & Wellington Ave,Subscriber,Male,1988
22187278,2019-04-01 22:01:14,2019-04-01 22:05:18,2465,244.0,604,Sheridan Rd & Noyes St (NU),603,Chicago Ave & Sheridan Rd,Subscriber,Male,1998
22187279,2019-04-01 22:02:01,2019-04-01 22:05:50,391,229.0,60,Dayton St & North Ave,138,Clybourn Ave & Division St,Subscriber,Male,1992
